"","build","computer.platform","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","stimulusitem2","stimulusitem3","response","latency"
"16","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",12,"white_background_main_hc","+","scenes/beach_132.jpg","3",921
"17","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",13,"white_background_main_hc","+","scenes/station_010.jpg","3",1368
"18","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",14,"white_background_main_hc","+","scenes/station_108.jpg","2",1412
"19","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",15,"white_background_main_hc","+","scenes/station_101.jpg","3",1575
"20","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",16,"white_background_main_hc","+","scenes/beach_067.jpg","2",1051
"21","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",17,"white_background_main_hc","+","scenes/forest_053.jpg","1",804
"22","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",18,"white_background_main_hc","+","scenes/station_023.jpg","3",1495
"23","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",19,"white_background_main_hc","+","scenes/forest_107.jpg","2",639
"24","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",20,"white_background_main_hc","+","scenes/forest_072.jpg","1",776
"25","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",21,"white_background_main_hc","+","scenes/beach_050.jpg","2",1420
"26","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",22,"white_background_main_hc","+","scenes/station_029.jpg","3",1070
"27","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",23,"white_background_main_hc","+","scenes/station_102.jpg","3",975
"28","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",24,"white_background_main_hc","+","scenes/city_070.jpg","2",1083
"29","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",25,"white_background_main_hc","+","scenes/city_025.jpg","3",2547
"30","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",26,"white_background_main_hc","+","scenes/station_103.jpg","3",1016
"31","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",27,"white_background_main_hc","+","scenes/station_062.jpg","2",779
"32","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",28,"white_background_main_hc","+","scenes/forest_113.jpg","3",719
"33","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",29,"white_background_main_hc","+","scenes/station_025.jpg","3",1381
"34","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",30,"white_background_main_hc","+","scenes/station_034.jpg","1",831
"35","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",31,"white_background_main_hc","+","scenes/city_102.jpg","2",915
"36","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",32,"white_background_main_hc","+","scenes/beach_137.jpg","3",1682
"37","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",33,"white_background_main_hc","+","scenes/station_072.jpg","1",890
"38","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",34,"white_background_main_hc","+","scenes/city_023.jpg","3",938
"39","5.0.7.0","win","17:48:59",4,"HC",3,"beginning_B2_hc_trial",35,"images/block2_inst.jpg","0","0","57",4648
"40","5.0.7.0","win","17:48:59",4,"HC",3,"reminder_hc_trial",36,"images/hot_cold_scale_reminder.jpg","0","0","57",2651
"41","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",37,"white_background_main_hc","+","scenes/station_113.jpg","1",1055
"42","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",38,"white_background_main_hc","+","scenes/city_062.jpg","2",849
"43","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",39,"white_background_main_hc","+","scenes/beach_044.jpg","5",4698
"44","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",40,"white_background_main_hc","+","scenes/forest_118.jpg","3",937
"45","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",41,"white_background_main_hc","+","scenes/forest_039.jpg","3",1510
"46","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",42,"white_background_main_hc","+","scenes/city_029.jpg","3",1261
"47","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",43,"white_background_main_hc","+","scenes/city_075.jpg","1",1006
"48","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",44,"white_background_main_hc","+","scenes/beach_101.jpg","3",2177
"49","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",45,"white_background_main_hc","+","scenes/city_063.jpg","1",846
"50","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",46,"white_background_main_hc","+","scenes/beach_134.jpg","3",1399
"51","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",47,"white_background_main_hc","+","scenes/forest_045.jpg","3",803
"52","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",48,"white_background_main_hc","+","scenes/city_059.jpg","1",966
"53","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",49,"white_background_main_hc","+","scenes/forest_014.jpg","3",1042
"54","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",50,"white_background_main_hc","+","scenes/beach_131.jpg","3",1515
"55","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",51,"white_background_main_hc","+","scenes/station_055.jpg","2",1002
"56","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",52,"white_background_main_hc","+","scenes/beach_057.jpg","3",1829
"57","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",53,"white_background_main_hc","+","scenes/forest_042.jpg","2",1991
"58","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",54,"white_background_main_hc","+","scenes/forest_043.jpg","2",859
"59","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",55,"white_background_main_hc","+","scenes/station_064.jpg","1",843
"60","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",56,"white_background_main_hc","+","scenes/city_032.jpg","3",1493
"61","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",57,"white_background_main_hc","+","scenes/forest_050.jpg","2",932
"62","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",58,"white_background_main_hc","+","scenes/city_073.jpg","1",778
"63","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",59,"white_background_main_hc","+","scenes/city_018.jpg","4",3070
"64","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",60,"white_background_main_hc","+","scenes/forest_044.jpg","3",1055
"65","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",61,"white_background_main_hc","+","scenes/forest_056.jpg","2",592
"66","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",62,"white_background_main_hc","+","scenes/beach_002.jpg","3",1611
"67","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",63,"white_background_main_hc","+","scenes/beach_051.jpg","2",3070
"68","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",64,"white_background_main_hc","+","scenes/forest_031.jpg","3",983
"69","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",65,"white_background_main_hc","+","scenes/city_016.jpg","3",1843
"70","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",66,"white_background_main_hc","+","scenes/city_117.jpg","3",1020
"71","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",67,"white_background_main_hc","+","scenes/city_020.jpg","4",2094
"72","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",68,"white_background_main_hc","+","scenes/forest_102.jpg","2",1198
"73","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",1,"white_background_prac_nq","+","scenes/noisy_quiet_prac01.jpg","4",1449
"74","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",2,"white_background_prac_nq","+","scenes/noisy_quiet_prac02.jpg","1",1081
"75","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",3,"white_background_prac_nq","+","scenes/noisy_quiet_prac03.jpg","2",1049
"76","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",4,"white_background_prac_nq","+","scenes/noisy_quiet_prac04.jpg","3",1018
"77","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",5,"white_background_prac_nq","+","scenes/noisy_quiet_prac05.jpg","2",1179
"78","5.0.7.0","win","17:48:59",4,"NQPrac",5,"likert_nq_prac",6,"white_background_prac_nq","+","scenes/noisy_quiet_prac06.jpg","2",808
"79","5.0.7.0","win","17:48:59",4,"NQ",6,"beginning_B1_nq_trial",1,"images/block1_inst.png","0","0","57",1822
"80","5.0.7.0","win","17:48:59",4,"NQ",6,"reminder_nq_trial",2,"images/noisy_quiet_scale_reminder_cut.jpg","Press enter to start the experiment","0","57",6969
"81","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",3,"white_background_main_nq","+","scenes/station_034.jpg","2",1464
"82","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",4,"white_background_main_nq","+","scenes/beach_080.jpg","2",681
"83","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",5,"white_background_main_nq","+","scenes/beach_067.jpg","1",1226
"84","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",6,"white_background_main_nq","+","scenes/forest_039.jpg","2",1140
"85","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",7,"white_background_main_nq","+","scenes/beach_044.jpg","3",562
"86","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",8,"white_background_main_nq","+","scenes/forest_014.jpg","3",983
"87","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",9,"white_background_main_nq","+","scenes/city_023.jpg","2",1107
"88","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",10,"white_background_main_nq","+","scenes/city_020.jpg","3",1610
"89","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",11,"white_background_main_nq","+","scenes/station_072.jpg","3",829
"90","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",12,"white_background_main_nq","+","scenes/forest_031.jpg","2",535
"91","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",13,"white_background_main_nq","+","scenes/city_018.jpg","3",1710
"92","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",14,"white_background_main_nq","+","scenes/forest_113.jpg","3",708
"93","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",15,"white_background_main_nq","+","scenes/station_056.jpg","2",883
"94","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",16,"white_background_main_nq","+","scenes/beach_101.jpg","2",451
"95","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",17,"white_background_main_nq","+","scenes/beach_050.jpg","2",644
"96","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",18,"white_background_main_nq","+","scenes/forest_042.jpg","2",550
"97","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",19,"white_background_main_nq","+","scenes/beach_132.jpg","1",732
"98","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",20,"white_background_main_nq","+","scenes/beach_051.jpg","2",562
"99","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",21,"white_background_main_nq","+","scenes/city_029.jpg","2",543
"100","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",22,"white_background_main_nq","+","scenes/city_063.jpg","4",1629
"101","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",23,"white_background_main_nq","+","scenes/city_032.jpg","3",1231
"102","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",24,"white_background_main_nq","+","scenes/forest_107.jpg","3",650
"103","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",25,"white_background_main_nq","+","scenes/station_102.jpg","2",963
"104","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",26,"white_background_main_nq","+","scenes/beach_131.jpg","2",728
"105","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",27,"white_background_main_nq","+","scenes/station_023.jpg","2",686
"106","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",28,"white_background_main_nq","+","scenes/beach_057.jpg","3",798
"107","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",29,"white_background_main_nq","+","scenes/station_062.jpg","3",593
"108","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",30,"white_background_main_nq","+","scenes/station_101.jpg","2",1133
"109","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",31,"white_background_main_nq","+","scenes/beach_002.jpg","3",795
"110","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",32,"white_background_main_nq","+","scenes/city_117.jpg","4",1615
"111","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",33,"white_background_main_nq","+","scenes/beach_130.jpg","3",713
"112","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",34,"white_background_main_nq","+","scenes/station_010.jpg","3",568
"113","5.0.7.0","win","17:48:59",4,"NQ",6,"beginning_B2_nq_trial",35,"images/block2_inst.jpg","0","0","57",2757
"114","5.0.7.0","win","17:48:59",4,"NQ",6,"reminder_nq_trial",36,"images/noisy_quiet_scale_reminder_cut.jpg","Press enter to start the experiment","0","57",1571
"115","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",37,"white_background_main_nq","+","scenes/city_016.jpg","4",939
"116","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",38,"white_background_main_nq","+","scenes/forest_045.jpg","3",657
"117","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",39,"white_background_main_nq","+","scenes/beach_134.jpg","3",442
"118","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",40,"white_background_main_nq","+","scenes/station_030.jpg","3",769
"119","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",41,"white_background_main_nq","+","scenes/station_064.jpg","3",752
"120","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",42,"white_background_main_nq","+","scenes/station_108.jpg","2",1453
"121","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",43,"white_background_main_nq","+","scenes/city_059.jpg","3",1647
"122","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",44,"white_background_main_nq","+","scenes/beach_077.jpg","3",433
"123","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",45,"white_background_main_nq","+","scenes/forest_056.jpg","3",171
"124","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",46,"white_background_main_nq","+","scenes/station_113.jpg","2",879
"125","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",47,"white_background_main_nq","+","scenes/forest_053.jpg","3",768
"126","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",48,"white_background_main_nq","+","scenes/forest_015.jpg","3",452
"127","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",49,"white_background_main_nq","+","scenes/station_055.jpg","2",1613
"128","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",50,"white_background_main_nq","+","scenes/forest_043.jpg","3",407
"129","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",51,"white_background_main_nq","+","scenes/city_073.jpg","2",979
"130","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",52,"white_background_main_nq","+","scenes/beach_133.jpg","3",688
"131","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",53,"white_background_main_nq","+","scenes/city_102.jpg","3",1335
"132","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",54,"white_background_main_nq","+","scenes/station_103.jpg","2",1438
"133","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",55,"white_background_main_nq","+","scenes/city_019.jpg","3",1288
"134","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",56,"white_background_main_nq","+","scenes/station_025.jpg","3",583
"135","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",57,"white_background_main_nq","+","scenes/city_062.jpg","4",2500
"136","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",58,"white_background_main_nq","+","scenes/beach_137.jpg","3",716
"137","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",59,"white_background_main_nq","+","scenes/station_029.jpg","3",619
"138","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",60,"white_background_main_nq","+","scenes/forest_072.jpg","3",910
"139","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",61,"white_background_main_nq","+","scenes/city_075.jpg","2",1436
"140","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",62,"white_background_main_nq","+","scenes/forest_102.jpg","3",470
"141","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",63,"white_background_main_nq","+","scenes/beach_049.jpg","4",1719
"142","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",64,"white_background_main_nq","+","scenes/forest_044.jpg","3",573
"143","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",65,"white_background_main_nq","+","scenes/city_025.jpg","3",889
"144","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",66,"white_background_main_nq","+","scenes/forest_118.jpg","3",529
"145","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",67,"white_background_main_nq","+","scenes/city_070.jpg","2",1375
"146","5.0.7.0","win","17:48:59",4,"NQ",6,"likert_nq",68,"white_background_main_nq","+","scenes/forest_050.jpg","3",515
"147","5.0.7.0","win","17:48:59",4,"demo_block",7,"age",1,"0","0","0","61",9396
"148","5.0.7.0","win","17:48:59",4,"demo_block",7,"education",1,"0","0","0","bachelor's degree",9396
"149","5.0.7.0","win","17:48:59",4,"demo_block",7,"left_right_handed",1,"0","0","0","right",9396
"150","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption1",2,"0","0","0","0",12659
"151","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption2",2,"0","0","0","",12659
"152","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption3",2,"0","0","0","",12659
"153","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption4",2,"0","0","0","",12659
"154","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption5",2,"0","0","0","",12659
"155","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption6",2,"0","0","0","",12659
"156","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption7",2,"0","0","0","",12659
"157","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption8",2,"0","0","0","",12659
"158","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceoption9",2,"0","0","0","",12659
"159","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceother",2,"0","0","0","",12659
"160","5.0.7.0","win","17:48:59",4,"demo_block",7,"raceother",2,"0","0","0","",12659
"161","5.0.7.0","win","17:48:59",4,"demo_block",7,"english_language",2,"0","0","0","Yes",12659
"162","5.0.7.0","win","17:48:59",4,"demo_block",7,"english_languageother",2,"0","0","0","",12659
"163","5.0.7.0","win","17:48:59",4,"demo_block",7,"worker_id",2,"0","0","0","A1S88VQY8G8CNC",12659
"164","5.0.7.0","win","20:17:23",6,"HCPrac",2,"likert_prac_hc",1,"white_background_prac_hc","+","scenes/hot_cold_prac01.jpg","4",1717
"165","5.0.7.0","win","20:17:23",6,"HCPrac",2,"likert_prac_hc",2,"white_background_prac_hc","+","scenes/hot_cold_prac02.jpg","1",638
"166","5.0.7.0","win","20:17:23",6,"HCPrac",2,"likert_prac_hc",3,"white_background_prac_hc","+","scenes/hot_cold_prac03.jpg","5",2011
"167","5.0.7.0","win","20:17:23",6,"HCPrac",2,"likert_prac_hc",4,"white_background_prac_hc","+","scenes/hot_cold_prac04.jpg","2",785
"168","5.0.7.0","win","20:17:23",6,"HC",3,"beginning_B1_hc_trial",1,"images/block1_inst.png","0","0","57",1479
"169","5.0.7.0","win","20:17:23",6,"HC",3,"reminder_hc_trial",2,"images/hot_cold_scale_reminder.jpg","0","0","57",22
"170","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",3,"white_background_main_hc","+","scenes/city_019.jpg","3",1009
"171","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",4,"white_background_main_hc","+","scenes/forest_050.jpg","1",631
"172","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",5,"white_background_main_hc","+","scenes/forest_113.jpg","3",1749
"173","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",6,"white_background_main_hc","+","scenes/forest_031.jpg","3",870
"174","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",7,"white_background_main_hc","+","scenes/station_103.jpg","3",3154
"175","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",8,"white_background_main_hc","+","scenes/station_023.jpg","3",2616
"176","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",9,"white_background_main_hc","+","scenes/station_108.jpg","2",1859
"177","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",10,"white_background_main_hc","+","scenes/beach_057.jpg","1",1288
"178","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",11,"white_background_main_hc","+","scenes/city_075.jpg","1",2450
"179","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",12,"white_background_main_hc","+","scenes/city_023.jpg","3",678
"180","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",13,"white_background_main_hc","+","scenes/beach_137.jpg","2",1186
"181","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",14,"white_background_main_hc","+","scenes/forest_056.jpg","1",1017
"182","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",15,"white_background_main_hc","+","scenes/station_101.jpg","3",1095
"183","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",16,"white_background_main_hc","+","scenes/beach_077.jpg","1",1307
"184","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",17,"white_background_main_hc","+","scenes/station_102.jpg","3",1142
"185","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",18,"white_background_main_hc","+","scenes/forest_072.jpg","1",831
"186","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",19,"white_background_main_hc","+","scenes/beach_133.jpg","3",2140
"187","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",20,"white_background_main_hc","+","scenes/beach_080.jpg","1",3331
"188","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",21,"white_background_main_hc","+","scenes/forest_102.jpg","1",572
"189","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",22,"white_background_main_hc","+","scenes/city_032.jpg","3",749
"190","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",23,"white_background_main_hc","+","scenes/forest_015.jpg","3",2206
"191","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",24,"white_background_main_hc","+","scenes/city_117.jpg","3",2667
"192","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",25,"white_background_main_hc","+","scenes/station_113.jpg","2",1406
"193","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",26,"white_background_main_hc","+","scenes/station_072.jpg","2",2811
"194","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",27,"white_background_main_hc","+","scenes/station_034.jpg","1",879
"195","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",28,"white_background_main_hc","+","scenes/beach_067.jpg","2",1170
"196","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",29,"white_background_main_hc","+","scenes/beach_044.jpg","4",1085
"197","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",30,"white_background_main_hc","+","scenes/city_102.jpg","2",1213
"198","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",31,"white_background_main_hc","+","scenes/station_010.jpg","3",860
"199","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",32,"white_background_main_hc","+","scenes/city_016.jpg","4",1247
"200","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",33,"white_background_main_hc","+","scenes/beach_131.jpg","3",1012
"201","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",34,"white_background_main_hc","+","scenes/forest_107.jpg","3",357
"202","5.0.7.0","win","20:17:23",6,"HC",3,"beginning_B2_hc_trial",35,"images/block2_inst.jpg","0","0","57",2721
"203","5.0.7.0","win","20:17:23",6,"HC",3,"reminder_hc_trial",36,"images/hot_cold_scale_reminder.jpg","0","0","57",29
"204","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",37,"white_background_main_hc","+","scenes/station_029.jpg","3",1028
"205","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",38,"white_background_main_hc","+","scenes/city_062.jpg","2",774
"206","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",39,"white_background_main_hc","+","scenes/city_020.jpg","3",852
"207","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",40,"white_background_main_hc","+","scenes/city_073.jpg","2",821
"208","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",41,"white_background_main_hc","+","scenes/forest_044.jpg","2",722
"209","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",42,"white_background_main_hc","+","scenes/forest_045.jpg","3",1370
"210","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",43,"white_background_main_hc","+","scenes/beach_002.jpg","4",1639
"211","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",44,"white_background_main_hc","+","scenes/beach_134.jpg","3",815
"212","5.0.7.0","win","20:17:23",6,"HC",3,"likert_hc",45,"white_background_main_hc","+","scenes/station_064.jpg","2",2947
